relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
CreatedBy,CreatedBy,A book,a writer,"['A book', '', 'A book', 'A bookrelation', 'A game', 'An object', 'A bookrelation: CreatedBy', 'A movie', 'a book', 'A book', 'CreatedBy', 'A book', 'A bookrelation:', 'A book relation', 'A book', 'A book', 'A paper', 'A book', 'A book', 'A book']",A book,,A bookrelation,0.0
CreatedBy,CreatedBy,a program,a programmer,"['a program', 'an object', 'a function', '', 'a program', 'the program', 'a function', 'a variable', 'a function', 'a function', 'an object', 'a variable', 'a function', 'a programrelation', 'a class', 'a string', 'a file', 'an object', 'a class', 'a method']",a function,an object,a program,0.0
CreatedBy,CreatedBy,baby,sex,"['baby', '', 'baby', 'child', 'child', 'baby', 'baby', 'baby', 'baby', 'baby', 'baby', 'baby', 'baby', 'baby', 'createdBy', 'baby1', 'baby', 'boy', 'babyrelation: CreatedBy', 'girl']",baby,child,,0.0
CreatedBy,CreatedBy,iPod,Apple Computer,"['', 'iPod', 'iTunes', 'iPhone', 'iTunes', 'Unknown', 'iPhone', 'iPad', 'iPod', 'N/A', 'iPad', 'iTunes', 'MP3', 'iPod', 'MP3', 'iPod', 'USB', 'iPod', 'MP3', 'iPhone']",iPod,iTunes,iPhone,0.0
CreatedBy,CreatedBy,Smoke ,fire,"['', 'Smoke', 'Fire', 'Fire', 'Fire', 'Fire', 'Fireball', 'Explosions', 'Fire', 'Plume', 'Lava', 'Meteorite', 'Smoke', 'Gunpowder', 'Debris', 'Gasoline', 'Obsidian', 'Fire', 'Fireworks', 'Cigarettes']",Fire,Smoke,,0.0
CreatedBy,CreatedBy,equality for everyone,a community,"['equality for everyone', 'equality for everyone', 'equality for everybody', 'equality for all', 'equality for all', '', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everybody', 'equality', 'equality for all people', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for people']",equality for everyone,equality for everybody,equality for all,0.0
CreatedBy,CreatedBy,semen,testicles,"['semen', 'sperm', 'sperm', '', 'sperm', 'semen', 'semen', 'semen', 'egg', 'blood', 'semen', 'spermatozoa', 'semen', 'sperm', 'urine', 'semen', 'vagina', 'semen', 'semen', 'semen']",semen,sperm,,0.0
CreatedBy,CreatedBy,Marxism,Karl Marx and Friedrich Engels,"['Marxism', 'Marxism', 'Marxism-Leninism-Maoism', 'Communism', 'Marxism', 'Communism', 'Marxism', 'Socialism', 'Marxism', 'Marxism', '', 'Communism', 'Marxism', 'Marxism', 'Marxism-Leninism', 'Communism', 'Capitalism', 'Socialism', 'Marxism', 'Bolshevism']",Marxism,Communism,Socialism,0.0
CreatedBy,CreatedBy,oxygen,plants,"['oxygen', 'oxygenrelation', '', 'oxygenrelation: CreatedBy', 'nitrogen', 'oxygen', 'hydrogen', 'oxygen correlation: CreatedBy', 'oxygen', 'oxygen', 'oxygen', 'oxygen', 'oxygenrelation:', 'oxygen', 'oxygen', 'water', 'hydrogen', 'carbon', 'oxygen', 'carbon dioxide']",oxygen,hydrogen,oxygenrelation,0.0
CreatedBy,CreatedBy,Bread,a baker,"['Bread', '', 'Bread', 'None', 'Bread', 'Milk', 'Food', 'Peanut Butter', 'Meat', 'Bread', 'Bread', 'Cheese', 'Chicken', 'Meat', 'Meat', 'Cheese', 'Cheesecake', 'Meat', 'Food', 'Cheese']",Bread,Meat,Cheese,0.0
CreatedBy,CreatedBy,software,programmer,"['softwarerelation', 'software', 'softwarerelation: CreatedBy', 'software', 'softwarerelation:', 'data', 'software', '', 'software', 'softwarerelation: ModifiedBy', 'software', 'software', 'softwarerelation: createdBy', 'software', 'softwarerelation: UpdatedBy', 'software', 'softwarerelation: AddedBy', 'softwarerelation: StartedBy', 'software', 'software']",software,softwarerelation,softwarerelation: CreatedBy,0.0
CreatedBy,CreatedBy,chocolate,mixing sugar,"['chocolate', '', 'hazelnut', 'chocolates', 'chocolate', 'chocolate', 'milk', 'coffee', 'cocoa', 'chocolate', 'chocolate', 'chocolaterelation', 'chocolate', 'chocolate', 'chocolaterelation: CreatedBy', 'peanut butter', 'chocolate', 'peanut butter', 'chocolate', 'milk']",chocolate,milk,peanut butter,0.0
CreatedBy,CreatedBy,An egg,a chicken,"['An egg', '', 'An egg', 'An object', 'An egg', 'An apple', 'An animal', 'An egg', 'An egg', 'An egg', 'An egg', 'An object', 'An item', 'An egg', 'An egg', 'An egg', 'An egg', 'An egg', 'The egg', 'An onion']",An egg,An object,,0.0
CreatedBy,CreatedBy,genocide,killing a specific group,"['genocide', 'genocide', 'genocide', 'genocide', 'genocide', 'genociderelation: CreatedBy', '', 'Genocide', 'genocide', 'genocide', 'genocide', 'genocide', 'genocide relation: CreatedBy', 'genocide', 'genocide', 'war', 'genocide', 'genocide', 'genocide correlation: CreatedBy', 'genocide']",genocide,genociderelation: CreatedBy,,0.0
CreatedBy,CreatedBy,A bridge ,man kind,"['A bridge', '', 'A building', 'A bridge', 'A road', 'A tunnel', 'A tree', 'A path', 'A car', 'A structure', 'A wall', 'The bridge', 'A river', 'A house', 'A bridge', 'A link', 'A gate', 'A branch', 'A point', 'A bridge']",A bridge,,A building,0.0
CreatedBy,CreatedBy,equality for everyone,a political ideology,"['equality for everyone', 'equality for everyone', 'equality for everybody', 'equality for all', 'equality for all', '', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everybody', 'equality', 'equality for all people', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for everyone', 'equality for people']",equality for everyone,equality for everybody,equality for all,0.0
