relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
Desires,desires,a person,own a house,"['desires', 'a person', 'a person', 'desire', 'desire', 'desires', 'a person', 'desires', 'a person', 'the person', 'an object', 'persons', 'a person', 'desires', 'a person', 'an object', 'a person', 'a relationship', 'a person', 'desires']",a person,desires,desire,0.0
Desires,desires,a person,a headache,"['desires', 'a person', 'a person', 'desire', 'desire', 'desires', 'a person', 'desires', 'a person', 'the person', 'an object', 'persons', 'a person', 'desires', 'a person', 'an object', 'a person', 'a relationship', 'a person', 'desires']",a person,desires,desire,0.0
Desires,desires,a person,clothing,"['desires', 'a person', 'a person', 'desire', 'desire', 'desires', 'a person', 'desires', 'a person', 'the person', 'an object', 'persons', 'a person', 'desires', 'a person', 'an object', 'a person', 'a relationship', 'a person', 'desires']",a person,desires,desire,0.0
Desires,desires,Children,play with toys,"['Children', 'Children', 'Relationships', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children', 'children', 'Children', 'desires', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children']",Children,Relationships,children,0.0
Desires,desires,a person,be knowledgeable,"['desires', 'a person', 'a person', 'desire', 'desire', 'desires', 'a person', 'desires', 'a person', 'the person', 'an object', 'persons', 'a person', 'desires', 'a person', 'an object', 'a person', 'a relationship', 'a person', 'desires']",a person,desires,desire,0.0
Desires,desires,Dogs,chew bones,"['Dogs', 'Dogs', 'Cats', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Cats', 'Dogs', 'Dogs', 'Dogs', 'Cats', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Cats']",Dogs,Cats,,0.0
Desires,desires,A person,compliments,"['desires', 'A person', 'desire', 'a person', 'A person', 'A person', 'a person', 'A person', 'desires', 'desires', 'desire', 'A person', 'A person', 'A person', 'person', 'A desire', 'the person', 'A relationship', 'persons', 'A person']",A person,desires,desire,0.0
Desires,desires,a dog,a bone,"['a dog', 'a dog', 'desires', 'desire', 'a dog', 'a dog', 'a cat', 'dogs', 'the dog', 'a man', 'a woman', 'a cat', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog']",a dog,a cat,desires,0.0
Desires,desires,a dog,be petted,"['a dog', 'a dog', 'desires', 'desire', 'a dog', 'a dog', 'a cat', 'dogs', 'the dog', 'a man', 'a woman', 'a cat', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog']",a dog,a cat,desires,0.0
Desires,desires,a cat,milk to drink,"['a cat', 'desires', 'a cat', 'a dog', 'a dog', 'a woman', 'a cat', 'desire', 'the cat', 'a man', 'a cat', 'a cat', 'a man', '', 'a cat', 'a dog', 'a woman', 'a cat', 'a dog', 'a dog']",a cat,a dog,a woman,0.0
Desires,desires,an animal,reproduce,"['desires', 'an object', 'desire', 'an animal', 'an animal', 'desires', 'desire', 'desires', 'desires', 'a person', 'desires', 'desire', 'desires', '', 'a man', 'desire', 'an animal', 'a woman', 'true', 'desires']",desires,desire,an animal,0.0
Desires,desires,a person,more time off,"['desires', 'a person', 'a person', 'desire', 'desire', 'desires', 'a person', 'desires', 'a person', 'the person', 'an object', 'persons', 'a person', 'desires', 'a person', 'an object', 'a person', 'a relationship', 'a person', 'desires']",a person,desires,desire,0.0
