relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
CreatedBy,CreatedBy,A book,a writer,"['a bookseller', 'a bookseller', 'a bookseller', 'a writer', 'a bookseller', 'a writer', 'a painter', 'a teacher', 'a teacher', 'a musician', 'a painter', 'a musician', 'a writer', 'a writer', 'a bookseller', 'a teacher', 'a painter', 'a cook', 'a bookseller', 'a bookseller']",a bookseller,a writer,a painter,0.2
CreatedBy,CreatedBy,a program,a programmer,"['a programmer', 'a computer', 'a game', 'a writer', 'a programmer', 'a computer', 'a programmer', 'a computer', 'a teacher', 'a programmer', 'a book', 'a musician', 'a student', 'a writer', 'a programmer', 'a computer', 'a scientist', 'a teacher', 'a game', 'a computer']",a programmer,a computer,a game,0.25
CreatedBy,CreatedBy,baby,sex,"['a child', 'a teacher', 'a student', 'a girl', 'a child', 'a boy', 'a musician', 'a woman', 'a baby', 'a dog', 'a man', 'a child', 'a teacher', 'a cat', 'a child', 'a cat', 'a baker', 'a child', 'a student', 'a baker']",a child,a teacher,a student,0.0
CreatedBy,CreatedBy,iPod,Apple Computer,"['a musician', 'a computer', 'a songwriter', 'a musician', 'a book', 'a TV', 'a singer', 'a musician', 'a musician', 'a video game', 'a TV', 'a singer/songwriter', 'a musician', 'a musician', 'a movie', 'a book', 'a musician', 'a computer', 'a video game', 'a songwriter']",a musician,a computer,a songwriter,0.0
CreatedBy,CreatedBy,Smoke ,fire,"['a smoker', 'a smoker', 'a musician', 'a tobacconist', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a teacher', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker', 'a smoker']",a smoker,a musician,a tobacconist,0.0
CreatedBy,CreatedBy,equality for everyone,a community,"['equality for everyone', 'equality for everyone', 'equality for everyone', 'a student', 'a teacher', 'equality for all', 'equality for everyone', 'a teacher', 'equality for everyone', 'equality for everyone', 'a student', 'equality for everybody', 'equality for everyone', 'a teacher', 'equality for everyone', 'equality for all', 'equality for everyone', 'equality for all', 'a person', 'a musician']",equality for everyone,a teacher,equality for all,0.0
CreatedBy,CreatedBy,semen,testicles,"['a woman', 'a teacher', 'a doctor', 'a dancer', 'a woman', 'a student', 'a man', 'a scientist', 'a prostitute', 'sperm', 'a woman', 'a book', 'a woman', 'a hairdresser', 'a musician', 'a student', 'a dancer', 'a hairdresser', 'a doctor', 'a man']",a woman,a doctor,a dancer,0.0
CreatedBy,CreatedBy,Marxism,Karl Marx and Friedrich Engels,"['a philosopher', 'a politician', 'a philosopher', 'a scientist', 'a philosopher', 'a communist', 'a writer', 'Marxism', 'a politician', 'a journalist', 'a communist', 'a philosopher', 'a politician', 'a philosopher', 'a scientist', 'Marxism-Leninism-Maoism', 'a scientist', 'a professor', 'a socialist', 'a teacher']",a philosopher,a politician,a scientist,0.0
CreatedBy,CreatedBy,oxygen,plants,"['a musician', 'a scientist', 'water', 'a doctor', 'a smoker', 'a person', 'a fish', 'a fish', 'a balloon', 'a beer', 'a balloon', 'a musician', 'a beer', 'a musician', 'a doctor', 'a fish', 'a baker', 'a musician', 'a painter', 'a scientist']",a musician,a fish,a scientist,0.0
CreatedBy,CreatedBy,Bread,a baker,"['a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a baker', 'a cake', 'a baker', 'a pizza', 'a baker', 'a bakery', 'a bakery', 'a baker', 'a baker', 'a baker']",a baker,a bakery,a cake,0.8
CreatedBy,CreatedBy,software,programmer,"['a computer', 'a programmer', 'a musician', 'a writer', 'a musician', 'a programmer', 'a teacher', 'a software engineer', 'a scientist', 'a programmer', 'a software developer', 'a video game', 'a computer', 'a computer', 'a musician', 'a computer', 'a programmer', 'a programmer', 'a video game', 'a game']",a programmer,a computer,a musician,0.25
CreatedBy,CreatedBy,chocolate,mixing sugar,"['a cake', 'a cake', 'a baker', 'a cake', 'a musician', 'a chocolatier', 'a baker', 'a cake', 'a book', 'a baker', 'a movie', 'a pizza', 'a book', 'a baker', 'a pizza', 'a movie', 'a baker', 'a musician', 'a chocolatier', 'a musician']",a baker,a cake,a musician,0.0
CreatedBy,CreatedBy,An egg,a chicken,"['a cake', 'a baker', 'a hairdresser', 'a cake', 'a baker', 'a chicken', 'a book', 'a pizza', 'a dog', 'a cake', 'a baker', 'a fish', 'a dog', 'a baker', 'a cake', 'a baker', 'a dog', 'a baker', 'a chicken', 'a baker']",a baker,a cake,a dog,0.1
CreatedBy,CreatedBy,genocide,killing a specific group,"['genocide', 'genocide', 'a terrorist', 'a scientist', 'a politician', 'genocide', 'a doctor', 'a soldier', 'a terrorist', 'a movie', 'a terrorist', 'a doctor', 'a politician', 'a scientist', 'a politician', 'a scientist', 'a soldier', 'genocide', 'a terrorist', 'genocide']",genocide,a terrorist,a scientist,0.0
CreatedBy,CreatedBy,A bridge ,man kind,"['a musician', 'a teacher', 'a dancer', 'a musician', 'a painter', 'a musician', 'a tree', 'a carpenter', 'a teacher', 'a carpenter', 'a carpenter', 'a musician', 'a musician', 'a musician', 'a teacher', 'a musician', 'a carpenter', 'a musician', 'a painter', 'a musician']",a musician,a carpenter,a teacher,0.0
CreatedBy,CreatedBy,equality for everyone,a political ideology,"['equality for everyone', 'equality for everyone', 'equality for everyone', 'a student', 'a teacher', 'equality for all', 'equality for everyone', 'a teacher', 'equality for everyone', 'equality for everyone', 'a student', 'equality for everybody', 'equality for everyone', 'a teacher', 'equality for everyone', 'equality for all', 'equality for everyone', 'equality for all', 'a person', 'a musician']",equality for everyone,a teacher,equality for all,0.0
CreatedBy,CreatedBy,Utopia,a community,"['a scientist', 'a writer', 'a painter', 'a philosopher', 'a musician', 'a politician', 'a teacher', 'a book', 'a woman', 'a student', 'a movie', 'a writer', 'a scientist', 'a painter', 'a student', 'a scientist', 'a musician', 'a teacher', 'a book', 'a writer']",a scientist,a writer,a painter,0.0
CreatedBy,CreatedBy,Fear,ignorance,"['a teacher', 'a musician', 'a dog', 'a scientist', 'a person', 'a student', 'a magician', 'a child', 'a thief', 'a dog', 'a cat', 'a teacher', 'a musician', 'a cat', 'a dog', 'a writer', 'a scientist', 'a musician', 'a student', 'a teacher']",a teacher,a musician,a dog,0.0
CreatedBy,CreatedBy,a dish,a chef,"['a dishwasher', 'a dishwasher', 'a dishwasher', 'a cook', 'a baker', 'a dishwasher', 'a restaurant', 'a cook', 'a chef', 'a chef', 'a cook', 'a baker', 'a dishwasher', 'a chef', 'a dishwasher', 'a dishwasher', 'a cook', 'a cook', 'a chef', 'a restaurant']",a dishwasher,a cook,a chef,0.2
CreatedBy,CreatedBy,game,programmer,"['a game designer', 'a computer', 'a game developer', 'a movie', 'a video game', 'a movie', 'a musician', 'a player', 'a game designer', 'a game designer', 'a movie', 'a book', 'a game designer', 'a game designer', 'a game designer', 'a game designer', 'a game designer', 'a game designer', 'a movie', 'a movie']",a game designer,a movie,a computer,0.0
CreatedBy,CreatedBy,An egg,a hen,"['a cake', 'a baker', 'a hairdresser', 'a cake', 'a baker', 'a chicken', 'a book', 'a pizza', 'a dog', 'a cake', 'a baker', 'a fish', 'a dog', 'a baker', 'a cake', 'a baker', 'a dog', 'a baker', 'a chicken', 'a baker']",a baker,a cake,a dog,0.0
CreatedBy,CreatedBy,Dinner,a chef,"['a dancer', 'a restaurant', 'a chef', 'a waiter', 'a musician', 'a baker', 'a movie', 'a waitress', 'a teacher', 'a baker', 'a cook', 'a dancer', 'a chef', 'a restaurant', 'a chef', 'a chef', 'a restaurant', 'a chef', 'a dancer', 'a waiter']",a chef,a dancer,a restaurant,0.25
CreatedBy,CreatedBy,Windows,Microsoft,"['a computer', 'a programmer', 'a computer', 'a computer', 'a user', 'a game', 'a computer', 'a musician', 'a computer', 'a computer', 'a video game', 'a writer', 'a printer', 'a TV', 'a computer', 'a computer', 'a computer', 'a movie', 'a programmer', 'a computer']",a computer,a programmer,a user,0.0
CreatedBy,CreatedBy,game,programmer,"['a game designer', 'a computer', 'a game developer', 'a movie', 'a video game', 'a movie', 'a musician', 'a player', 'a game designer', 'a game designer', 'a movie', 'a book', 'a game designer', 'a game designer', 'a game designer', 'a game designer', 'a game designer', 'a game designer', 'a movie', 'a movie']",a game designer,a movie,a computer,0.0
CreatedBy,CreatedBy,A paper,its author,"['a teacher', 'a writer', 'a teacher', 'a professor', 'a scientist', 'a book', 'a painter', 'a writer', 'a newspaper', 'a student', 'a book', 'a doctor', 'a scientist', 'a musician', 'a teacher', 'a professor', 'a writer', 'a teacher', 'a journalist', 'a photographer']",a teacher,a writer,a professor,0.0
