relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
Desires,Desires,a person,own a house,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,a headache,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,clothing,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,Children,play with toys,"['Children', 'Relationships', 'Children', 'Desires', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children', 'Children', 'Values', 'Children', 'Children', 'Children', 'Children', 'Children', '', 'Children']",Children,Relationships,Desires,0.0
Desires,Desires,a person,be knowledgeable,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,Dogs,chew bones,"['Dogs', 'Dogs', 'Cats', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Dogs', 'Cats', 'Dogs', 'Dogs', 'Animals', 'Dogs', 'Dogs', 'Dogs', 'Humans', 'Horses', 'Humans', 'Dogs', 'Dogs']",Dogs,Cats,Humans,0.0
Desires,Desires,A person,compliments,"['Desires', 'A person', 'Relationships', 'A person', 'A relationship', 'The person', 'A person', 'A person', 'Needs', 'Person', 'A person', 'An object', 'A person', 'An object', 'a person', 'A thing', 'The person', 'A man', 'Desires', 'Knowledge']",A person,Desires,The person,0.0
Desires,Desires,a dog,a bone,"['a dog', 'a cat', 'a dog', 'a horse', 'a dog', 'a man', 'a cat', 'a human', 'a dog', 'a cow', 'Desires', 'an object', 'a cat', 'a car', 'a bird', 'a chicken', 'a fish', 'a dog', 'a wolf', 'a girl']",a dog,a cat,a horse,0.0
Desires,Desires,a dog,be petted,"['a dog', 'a cat', 'a dog', 'a horse', 'a dog', 'a man', 'a cat', 'a human', 'a dog', 'a cow', 'Desires', 'an object', 'a cat', 'a car', 'a bird', 'a chicken', 'a fish', 'a dog', 'a wolf', 'a girl']",a dog,a cat,a horse,0.0
Desires,Desires,a cat,milk to drink,"['a dog', 'a cat', 'a cat', 'an object', 'a mouse', 'a kitten', 'a fish', 'a cat', 'a rat', 'a rabbit', 'a bat', 'a dog', 'a car', 'a bird', 'Desires', '', 'a monkey', 'a cow', 'a duck', 'a dog']",a dog,a cat,an object,0.0
Desires,Desires,an animal,reproduce,"['an object', 'Desires', 'an animal', 'an object', 'an object of interest', '', 'a human', 'an animal', 'a person', 'an object', 'an object', 'An object', 'a relationship', 'an item', 'an object', 'an animal', 'relationships', 'a dog', 'a creature', 'desires']",an object,an animal,Desires,0.0
Desires,Desires,a person,more time off,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,understand the world,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,other people,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,cats,play,"['cats', 'dogs', '', 'dogs', 'cats', 'cats', 'dogs', 'cats', 'cats', 'cats', 'Cats', 'dogs', 'cats', 'cats', 'dogs', 'dogs', 'kittens', 'cats', 'cats', 'dogs']",cats,dogs,,0.0
Desires,Desires,a person,receive gifts,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,enjoy,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,understand themselves,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
Desires,Desires,a person,praise,"['a person', 'a person', 'Desires', 'a person', 'a person', 'an object', 'a relationship', 'the person', 'a person', 'a thing', 'a person relation: Desires', 'person', 'a person', 'a relationship', 'a person', 'A person', 'a person', 'Relationships', 'persons', 'a person']",a person,a relationship,Desires,0.0
