relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
ReceivesAction,is/are,books,read,"['read', 'worn on your feet', 'read', 'read on your feet', 'worn on your feet', 'eaten', 'read on your feet', 'read', 'worn on your hands', 'worn on your feet', 'worn on your legs', 'worn on your knees', 'done', 'worn on your feet', 'read', 'read', 'worn on your toes', 'read', 'read', 'worn on your feet']",read,worn on your feet,read on your feet,0.35
ReceivesAction,is/are,Shoes,worn on your feet,"['worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your legs', 'worn on your feet', 'worn on your hands', 'boots', 'worn on your feet', 'worn on your feet', 'worn on your knees', 'worn on your legs', 'worn on your hands']",worn on your feet,worn on your legs,worn on your hands,0.7
ReceivesAction,is/are,cars,driven,"['worn on your feet', 'books', 'shoes', 'worn on your feet', 'shoes', 'clothes', 'bought', 'parked in front of your house', 'driving', 'books', 'worn on your feet', 'eaten', 'scooters', 'worn on your feet', 'worn on your hands', 'clothes', 'worn on your feet', 'books', 'worn on your hands', 'pants']",worn on your feet,books,shoes,0.0
ReceivesAction,is/are,an apple,eaten,"['eaten', 'eaten', 'eaten', 'a piece of cake', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'worn on your feet', 'eaten', 'eaten', 'eaten', 'eaten', 'a banana', 'a piece of cake', 'worn on your feet', 'eaten', 'eaten on your feet', 'eaten']",eaten,a piece of cake,worn on your feet,0.7
ReceivesAction,is/are,Food,eaten,"['eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'food', 'food', 'eaten', 'books', 'eaten', 'eaten', 'food', 'food', 'eaten', 'books', 'eaten', 'bread', 'eaten', 'cooked', 'cooked']",eaten,food,books,0.55
ReceivesAction,is/are,Butter,made from milk,"['eaten', 'eaten', 'eaten', 'eaten', 'bread', 'eaten', 'eaten', 'eaten', 'baked', 'eaten', 'milk', 'cakes', 'cupcakes', 'eaten', 'baked', 'baked', 'eaten', 'eaten', 'milk', 'cake']",eaten,baked,milk,0.0
ReceivesAction,is/are,A glass,broken,"['eaten', 'eaten', 'worn on your feet', 'read', 'worn on your feet', 'books', 'worn on your feet', 'books', 'a piece of glass', 'read', 'eaten', 'eaten', 'worn on your feet', 'eaten', 'eaten', 'books', 'worn on your feet', 'eaten', 'worn on your feet', 'books']",eaten,worn on your feet,books,0.0
ReceivesAction,is/are,People,killed,"['people', 'people', 'people', 'books', 'friends', 'people', 'people', 'eaten', 'people', 'people', 'people', 'people', 'people', 'people', 'people', 'people', 'friends', 'people', 'women', 'people']",people,friends,books,0.0
ReceivesAction,is/are,hockey,played on ice,"['ice hockey', 'ice hockey', 'skates', 'skateboard', 'ice hockey', 'skates', 'ice hockey', 'skateboard', 'hockey gloves', 'ice hockey', 'ice hockey', 'ice hockey', 'hockey stick', 'hockey sticks', 'hockey pants', 'shoes', 'skates', 'socks', 'skateboard', 'skates']",ice hockey,skates,skateboard,0.0
ReceivesAction,is/are,water,boiled,"['eaten', 'clothes', 'eaten', 'eaten', 'cold', 'eaten', 'cold', 'cold', 'books', 'cold', 'drink', 'drink', 'food', 'cold', 'food', 'eaten', 'soap', 'glasses', 'shoes', 'drink']",eaten,cold,drink,0.0
ReceivesAction,is/are,Fruit,eaten,"['eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'apples', 'eaten', 'fruit', 'eaten', 'fruit', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'eaten', 'books', 'eaten', 'eaten', 'fruit']",eaten,fruit,apples,0.75
ReceivesAction,is/are,some houses,made out of brick,"['books', 'some buildings', 'some buildings', 'some rooms', 'shops', 'some buildings', 'clothes', 'bought', 'some rooms', 'home', 'some houses', 'some shops', 'eaten', 'worn on your feet', 'some furniture', 'books', 'buildings', 'some rooms', 'old houses', 'books']",books,some buildings,some rooms,0.0
ReceivesAction,is/are,Books,written,"['read', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'read', 'read', 'worn on your feet', 'read on your feet', 'read', 'books', 'eaten', 'read on your feet', 'worn on your feet', 'worn on your feet', 'read on your feet', 'bought', 'read on your feet', 'wear on your feet', 'bought', 'books']",worn on your feet,read,read on your feet,0.0
ReceivesAction,is/are,paper,written on,"['books', 'books', 'written on a piece of paper', 'a piece of paper', 'eaten', 'printed on a piece of paper', 'a piece of paper', 'shoes', 'clothes', 'books', 'books', 'socks', 'pencil', 'a book', 'eaten', 'worn on your feet', 'glasses', 'worn on your feet', 'read', 'pencils']",books,a piece of paper,eaten,0.05
ReceivesAction,is/are,sand,found at the beach,"['worn on your feet', 'shoes', 'worn on your feet', 'clothes', 'worn on your feet', 'boots', 'socks', 'worn on your feet', 'sandbags', 'books', 'worn on your feet', 'pants', 'shoes', 'sandbags', 'books', 'shoes', 'sandals', 'wearing sandals on your feet', 'sandals', 'eaten']",worn on your feet,shoes,sandbags,0.0
ReceivesAction,is/are,boots,made for walking,"['worn on your feet', 'worn on your feet', 'pants', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'socks', 'worn on your feet', 'worn on your feet', 'worn on your feet', 'shoes on your feet', 'shirt', 'shoes on your feet', 'worn on your feet', 'sneakers', 'jeans', 'pants']",worn on your feet,pants,shoes on your feet,0.0
ReceivesAction,is/are,a movie,recorded on film,"['a book', 'a movie theater', 'books', 'a movie theater', 'a book', 'a game', 'a TV show', 'a game', 'a movie theatre', 'a movie theater', 'read', 'eaten', 'eaten', 'a TV show', 'a movie theatre', 'a video game', 'books', 'a book', 'a book', 'books']",a book,a movie theater,books,0.0
ReceivesAction,is/are,Some plastics,recycled,"['books', 'clothes', 'worn on your feet', 'shoes', 'plastic bags', 'jeans', 'worn on your feet', 'plastic bags', 'eaten', 'worn on your feet', 'books', 'books', 'bottles', 'toys', 'bags', 'plastic bags', 'used', 'eaten', 'worn on your feet', 'bought']",worn on your feet,books,plastic bags,0.0
ReceivesAction,is/are,bones,broken,"['boots', 'bones', 'bones', 'claws', 'hair', 'bones', 'clothes', 'teeth', 'bones', 'bones', 'eaten', 'eaten', 'eaten', 'eyes', 'eaten', 'teeth', 'broken bones', 'fingernails', 'tattoos', 'bones']",bones,eaten,teeth,0.05
ReceivesAction,is/are,Numbers,added up,"['books', 'numbers', 'written on a piece of paper', 'numbers', 'letters', 'books', 'number', 'books', 'numbers', 'eaten', 'read', 'letters', 'number', 'numbered', 'numbers', 'books', 'number', 'words', 'books', 'books']",books,numbers,number,0.0
ReceivesAction,is/are,People,born,"['people', 'people', 'people', 'books', 'friends', 'people', 'people', 'eaten', 'people', 'people', 'people', 'people', 'people', 'people', 'people', 'people', 'friends', 'people', 'women', 'people']",people,friends,books,0.0
ReceivesAction,is/are,Sentences,made from words,"['words', 'sentences', 'written on a piece of paper', 'read', 'books', 'read', 'read', 'speech', 'read', 'written', 'sentences', 'sentences', 'words', 'read', 'written', 'read', 'written', 'books', 'Sentences', 'eaten']",read,sentences,written,0.0
ReceivesAction,is/are,butter,eaten with toast,"['bread', 'eaten', 'eaten', 'baked goods', 'eaten', 'baked', 'baked goods', 'eaten', 'bread', 'eaten', 'baked', 'cheese', 'eaten', 'eaten', 'ice cream', 'cakes', 'milk', 'eaten', 'baked', 'baked']",eaten,baked,bread,0.0
